,Regiao,UF,CNAE,Atendida,CodAssunto,SexoConsumidor,FaixaEtaria,CEP,InscritoDAU
0,Norte,RO,6120501.0,0,187.0,M,5,76824042.0,1
2,Norte,RO,3514000.0,0,185.0,M,4,76824322.0,0
3,Norte,RO,8599604.0,1,236.0,M,3,78932000.0,0
4,Norte,RO,6120501.0,1,187.0,M,5,78932000.0,1
5,Norte,RO,6493000.0,0,57.0,M,6,76821331.0,1
6,Norte,RO,4753900.0,1,55.0,F,6,76825226.0,1
8,Norte,RO,6110801.0,1,187.0,M,4,76804336.0,1
9,Norte,RO,4753900.0,1,101.0,F,4,78958000.0,0
10,Norte,RO,4649402.0,1,101.0,F,4,78958000.0,1
11,Norte,RO,8299799.0,0,288.0,F,3,76908390.0,0
12,Norte,RO,4511101.0,0,57.0,M,7,76804343.0,0
13,Norte,RO,6436100.0,0,57.0,M,7,76804343.0,0
14,Norte,RO,7711000.0,0,264.0,M,2,76821331.0,0
19,Norte,RO,9430800.0,1,284.0,F,5,76907400.0,0
22,Norte,RO,4781400.0,0,55.0,F,3,76870000.0,1
24,Norte,RO,4541203.0,0,145.0,M,5,76868000.0,0
25,Norte,RO,3091101.0,0,145.0,M,5,76868000.0,1
26,Norte,RO,7311400.0,0,274.0,M,3,76890000.0,1
29,Norte,RO,7490104.0,0,55.0,F,4,76908560.0,0
31,Norte,RO,3514000.0,0,185.0,M,2,76808298.0,0
38,Norte,RO,3514000.0,0,185.0,M,3,76801745.0,0
39,Norte,RO,6511101.0,0,63.0,F,3,76850000.0,0
43,Norte,RO,3514000.0,0,185.0,F,2,76804506.0,0
45,Norte,RO,6493000.0,1,57.0,M,3,76810094.0,1
46,Norte,RO,4652400.0,1,101.0,M,7,76805836.0,1
47,Norte,RO,4713001.0,1,101.0,M,7,76805836.0,0
56,Norte,RO,4530701.0,0,89.0,F,5,76908366.0,0
59,Norte,RO,4651601.0,0,101.0,F,3,76828320.0,0
65,Norte,RO,5111100.0,0,276.0,M,4,76940000.0,1
66,Norte,RO,7490104.0,0,276.0,M,4,76940000.0,1
67,Nordeste,RN,6431000.0,0,54.0,F,4,59129320.0,0
68,Nordeste,RN,6421200.0,0,54.0,F,4,59129320.0,0
70,Nordeste,RN,6422100.0,0,54.0,M,3,59060240.0,0
71,Nordeste,RN,6422100.0,0,54.0,M,3,59060240.0,0
72,Nordeste,RN,6470101.0,0,54.0,M,3,59060240.0,0
73,Nordeste,RN,6436100.0,1,54.0,F,6,59067400.0,0
74,Nordeste,RN,4781400.0,1,54.0,F,6,59067400.0,0
75,Nordeste,RN,6431000.0,0,102.0,F,5,59078180.0,0
78,Nordeste,RN,4742300.0,1,97.0,F,4,59124630.0,0
79,Nordeste,RN,4711301.0,1,97.0,F,4,59124630.0,0
80,Sudeste,MG,8599601.0,1,264.0,M,2,38410014.0,0
81,Sudeste,MG,2751100.0,1,94.0,F,6,38412146.0,1
82,Sudeste,MG,4693100.0,1,94.0,F,6,38412146.0,1
83,Sudeste,MG,2632900.0,1,101.0,M,4,38400678.0,0
84,Sudeste,MG,6120501.0,1,101.0,M,4,38400678.0,0
85,Sudeste,MG,6120501.0,1,187.0,F,6,38421787.0,0
86,Sudeste,MG,6422100.0,1,53.0,M,4,38415330.0,0
87,Norte,RO,3514000.0,0,185.0,M,6,76803862.0,0
88,Nordeste,RN,4713001.0,1,101.0,F,6,59145220.0,0
89,Nordeste,RN,6512000.0,1,101.0,F,6,59145220.0,0
90,Nordeste,RN,2640000.0,1,101.0,F,6,59145220.0,1
91,Nordeste,RN,5310502.0,1,101.0,F,6,59145220.0,0
92,Nordeste,RN,4530703.0,1,89.0,F,3,59146060.0,0
93,Nordeste,RN,4751201.0,1,140.0,F,5,59010690.0,0
94,Nordeste,RN,6422100.0,0,53.0,M,4,59062320.0,0
95,Nordeste,RN,2640000.0,1,103.0,F,4,59015110.0,0
96,Nordeste,RN,9521500.0,1,103.0,F,4,59015110.0,0
97,Nordeste,RN,4711301.0,1,103.0,F,4,59015110.0,0
